话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4631331839672488,【上海九院心内科成功举办左心耳封堵动物实验培训班】2021年4月24日，上海九院“心视野”系列活动——左心耳封堵动物实验培训于在上海市浦东新区张江科创园举行。本次活动由上海交通大学医学院附属第九人民医院副院长王长谦、心内科张俊峰科副主任（主持工作）发起，旨在促进学术交流，增强优质医疗辐射力，吸引了来自全国多个省市、13家医院的28位心脏内科介入及心脏超声医生参加。【科普小贴士】房颤是临床最常见的心律失常疾病之一，中国房颤患者有1000-1350万人，其卒中风险高出常人5倍。2020年欧洲心脏病学会颁布了《房颤患者的综合管理指南》，指出房颤患者应基于“ABC”三方面进行综合管理，并将A-抗凝/预防卒中列在房颤管理的首要地位。对于非瓣膜性房颤患者，血栓栓塞性卒中约90%由左心耳血栓引起。房颤所致卒中具有高病死率、高致残率、高复发率，给家庭和社区带来巨大经济负担。通过封堵左心耳来避免房颤时在左心耳内形成血栓，从而降低房颤患者由血栓栓塞引发长期残疾或死亡的风险，技术成熟、临床证据充分。同时，此微创治疗方案可消除患者对长期口服抗凝治疗的依赖性，为患者提供治疗新选择。（心视野供稿）,3610711265,上海第九人民医院,f,2021/04/29,14:50:18,4,0,10, , , , , , 
https://m.weibo.cn/detail/4631034904447862,【#五一假期全面实施门票预约制度# 出行前做好准备哦】“五一”假期临近，文化和旅游部要求各地景区景点五一期间要严格落实“限量、预约、错峰”的要求，根据自身承载能力和当地疫情防控指挥机构要求，合理确定、严格执行限量要求，控制好接待游客数量，并全面实施门票预约制度。 此外，文化和旅游部今天（28日）还部署了五一假期旅游出行疫情防控工作，要求各地景区景点要严格遵守卫生防疫相关规定。 央视网快看的微博视频,1274460913,吉林交通广播,m,2021/04/28,19:10:24,1,0,3, , , , , , 
https://m.weibo.cn/detail/4630654861446603,#直击闵行新冠疫苗接种现场# #闵行要闻# 【没想到，你是这样“精神”的疫苗接种点！】 2021年4月21、22、23日，区融媒体中心开展了密集的调研工作，中心负责采编的副主任，采编部门相关主任，记者编辑，先后来到莘庄工业区、梅陇镇、七宝镇等各融媒体分中心所在街镇（工业区）的临时疫苗接种点，我们一次次走近那些排队的人群，一次次询问有关疫苗接种的事，无论在工业区的园区，还是梅陇的会所里，抑或是七宝的文体中心，都让我们看到一种精神，并且要为这种精神叫好。这里有时不我待，舍我其谁，敢想敢做的精神；有勇于率先、敢比敢学、勇赶勇超的精神；还有一种未雨绸缪、高瞻远瞩、从长计议的精神。我们认为在闵行经济社会发展进程中，应该努力发扬这种精神，始终把精神的力量投入到具体的工作实际中，敢于抵抗一切困难，敢于面对任何危机，我们就一定能使我们的各项工作从起步到超越、从迈步到突破，从阶段性成果到实现全面胜利。 没想到，你是这样“精神”的疫苗接种点！,2610594573,今日闵行,m,2021/04/27,18:00:15,21,2,5, , , , , , 
https://m.weibo.cn/detail/4628373093483172,#日本疫情# 昨天日本新增确诊病例4343例……今年奥运会不会成为日本的滑铁卢？每个县分一罐核废水得了，以毒攻毒 ,3197759105,仰止条侯,m,2021/04/21,10:53:19,0,3,7, , , , , , 
https://m.weibo.cn/detail/4630621568110137,【这款“全新作用机制”抗流感新药有望国内上市，全病程只需服用一次！】国家药品监督管理局官网4月25日显示，罗氏的抗流感新药玛巴洛沙韦片（Xofluza）上市申请审评状态变更为“在审批”，意味着这款全新作用机制的抗流感创新药即将在国内上市。目前广泛使用的抗流感口服用药为神经氨酸酶抑制剂类抗病毒药物（奥司他韦），需要每日服用两次，连续服用5天。而全新作用机制的玛巴洛沙韦（Xofluza）可以直接抑制病毒复制，患者在全病程只需服用一次，就能在24小时内停止病毒排毒。,2557375422,浦东发布,f,2021/04/27,15:47:57,5,0,4, , , , , , 
https://m.weibo.cn/detail/4629630562342550,【连续10天确诊病例超20万 #印度疫情为何失控#？】4月24日，印度新增新冠肺炎确诊病例34.6万例，再创新高。连续10天新冠病例确诊病例超过20万，#印度疫情#全面失控。印度第二波疫情发展迅猛，日新增新冠病例远超第一波疫情的峰值。印度疫情反弹的原因主要有：首先，双重变异病毒毒株具有更强的传染性；其次，印度各地医疗系统濒临崩溃，人员超负荷运转，物资短缺，导致患者无法及时接受治疗。第三，近期印度政府与民众对疫情放松警惕。民众大规模集聚庆祝传统节日，更有农民不顾疫情大规模游行示威。@世面 世面的微博视频,1644114654,新京报,m,2021/04/24,22:10:03,24,55,169, , , , , , 
 , , , , , , , , , ,5840538067,今夕何夕一如往昔,m,2021/04/24,22:16:36,还用为何这个词语疑问？阿三国早晚的，虽然药物上不得不说很牛。但阿三们精神上太无敌了，甚至藐视新冠，奶奶的，不弄你丫弄谁，反正你们爱美国。宝莱坞“接锅侠”加油哦
 , , , , , , , , , ,1845827521,一颗肉丸啊,f,2021/04/25,00:40:06,感谢政府感谢党 让我生在一个好国家
 , , , , , , , , , ,6297830659,我的老公是头猪Cc,f,2021/04/24,22:11:48,照这样下去，印度疫情只会越来越严重
 , , , , , , , , , ,5921306071,一个梦想仗剑走天涯的凡夫俗子,m,2021/04/25,07:43:14,印度的牛屎不是可以对抗病毒吗
 , , , , , , , , , ,5469580601,全山屁股我腚最红,m,2021/04/24,22:40:53,那不是两百多万？怎么每个媒体的数据不一，算算到现在也快过亿了吗？
