页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4829949250767390,奏耐天津,2022-10-29 16:45:00,【返津后不报备，造成重大疫情传播风险，被立案！】2022年10月28日，滨海新区新增1例新冠肺炎阳性感染者，该人姜某某（女，36岁），于23日-25日曾到访河北省沧州市明珠商贸城，乘火车返津后未及时向社区进行报备。10月27日起，河北省沧州市明珠商贸城划定为高风险区，姜某某在明知自己有疫情中高风险地区旅居史的情况下，未严格履行“七天三不”等疫情防疫责任，返津后，仍出入饭店、商场、市场等人员密集场所。10月27日市疫情防控指挥部发布郑重提示后，姜某某在10月28日早晨出现咽痛等症状的情况下，仍未及时向社区报备相关情况，故意隐瞒涉疫重点场所旅居史，造成重大疫情传播风险，导致多点、多人被管控、隔离等严重后果。根据《中华人民共和国传染病防治法》，姜某某的行为，违反疫情防控规定，公安机关已开展调查，将依法追究责任。疫情防控，关乎你我，落实“四方责任”至关重要。在此提醒广大市民群众密切关注疫情防控信息，做好个人防护，戴口罩、勤洗手、常通风、不聚集，保持安全社交距离，配合做好公共场所测温、验码，做到疫情防控意识和健康行为不放松。外省市来返滨人员要严格执行各项防疫政策，提前做好行程规划，并向社区、单位或住宿宾馆等主动报备，严格落实“落地检”和“七天三不”防疫要求，抵津7日内不聚餐、不聚会、不前往人员密集场所。滨海新区疫情防控指挥部2022年10月29日,14,140,616
1,4829954497840865,庄时利和,2022-10-29 17:05:51,东京不同年龄段各剂次的疫苗接种率。目前日本新冠疫苗接种年龄已下探至6个月，不过重点保障的还是高龄人群的接种，因为老年人仍然是受新冠威胁最大的群体，并且日本也是一个老龄化十分严重的国家。截至10月27日，东京80岁以上老年人完成第三针接种的比例已经超过90%，完成第四针的也已经达到80%。#庄医生的疫情笔记##微博新知博主#,16,31,117
1,4829933387909697,搜狐新闻,2022-10-29 15:41:58,【呼和浩特：对新冠患者家中床品、冰箱内部分食品等按照医疗废物处理】10月29日，记者从呼和浩特新冠肺炎疫情防控新闻发布会上获悉，呼和浩特市有关部门对患者住宅内开展空气消毒，物品消毒的同时，对病人居住卧室内的床品，冰箱内不宜消毒的冷冻食品和冷藏开封食品等按照医疗废物处理，并对冰箱内外部进行全面消毒。“病人用过的床品是病毒最易藏匿的地方，空气和物表消毒不能完全将其彻底杀灭，经专家研判，作为医疗废物处置是目前安全且符合实际的处理方法。”截至10月28日24时，呼和浩特市现有确诊病例260例、无症状感染者1952例。更多详细内容请查看原文>>网页链接,2467,946,22135
1,4829962496379624,德州小吃迷,2022-10-29 17:37:38,#德州疫情# 静默第二天，我突然很想喝可乐 ,0,0,0
1,4829962488779056,李晋晔在逃女友呀,2022-10-29 17:37:36,西华师大你就是我的神#西华师范大学##疫情##南充疫情#南充·西华师范大学,0,1,0
1,4829962479341126,shadow_asdf,2022-10-29 17:37:34,#疫情#啥时候能结束！！！祝你平安，也祝我又肥了一圈明天起我自由了,0,0,0
1,4829962475929670,寿司鱿鱼卷,2022-10-29 17:37:32,#广州疫情# 管了这么久越管越严重？谢谢啊 大学生喜提封校 真是太开心了 感恩！ ,0,0,0
1,4829962450501788,MiracleLTW,2022-10-29 17:37:26,三年了，出于好奇问一下。如果没有疫情，2019年到现在的大家都会在做什么呢，生活和现在的有哪些差别呢？可以畅想一下吗（越具体越好的那种） ,0,0,0
1,4829962449721534,费城的猫0,2022-10-29 17:37:27,#疫情# 相信这次能成行老天保佑吧🙏🙏🙏 ,0,0,0
1,4829962437139449,是菲仔呀呀呀,2022-10-29 17:37:24,好羡慕我女儿的生活，最大的烦恼是晚上没玩够就让睡觉，最开心的事就是疫情不用去幼儿园。所以生活什么时候能恢复正常，我想买东西 ,0,0,0
