页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4829960550221716,王炳忠_台灣,2022-10-29 17:29:54,【今晚8点半，我在央视四套，不见不散！】台湾连三个多月来每日新增新冠疫情几万例，三天前更出现单日确诊破四万人，累积总确诊已近800万（台湾总人口约2300万）。由于台湾官方与大陆防疫政策完全不同，不但不要求定期核酸，甚至用尽心计“阻拦”民众做核酸，如今公布的数字只是官方登记在案，存在许多并未上报或根本没验的“黑数”，台湾实际已成为新冠病毒岛，绝大多数确诊都是本土病例，岛内仍持续不断交叉感染中。明明去年岛内单日新增病例仅几百例，当时台当局就祭出限制外出堂食、境外人流入岛隔离、各大娱乐场所需打满三针……等防疫政策。可如今每天新增几万例，台当局却等于“躺平”放弃防疫，就在选前不到一个月的此时，再放宽境外入岛不须隔离、取消各大娱乐场所限制，甚至连接触过确诊者也都不用隔离。于此同时，台湾所谓自产疫苗更传出采购过程图利特定厂商，民进党用尽一切手段护航的“高端”品质根本不受国际承认，接种后产生不适反应、乃至致死案例更是频传。究竟民进党这出“以疫谋财”、“以疫害命”的戏码是如何上演？为何岛内所谓的“民主”，如今反而弥漫称颂民进党放弃防疫、丑化大陆认真防疫的歪论？今天10/29晚上8点半，敬请锁定央视四套《海峡两岸》节目，我与大陆嘉宾一同为您分析！,6,42,213
1,4829964157846523,广州交通电台,2022-10-29 17:44:14,【广州白云社区传播风险依然存在请居民不聚集不逗留】10月29日，广州市白云区副区长周军介绍，目前白云正处于控制本轮疫情的关键窗口期，防控风险点多，社区传播风险依然存在，为争取尽快阻断疫情发展，切实保障广大人民群众健康安全，经省市疾控专家研判，我们动态调整了防控措施，并持续充实一线防控力量，加强生活物资和医疗服务保障：一是进一步加强疫情防控措施。白云区今天发布了《关于进一步加强疫情防控工作的通告》，松洲街、石井街、白云湖街、石门街、同德街、黄石街、新市街、棠景街、均禾街、嘉禾街、鹤龙街11条街道内，社区小区、城中村、产业园区实行封闭式管理，高风险区“足不出户、上门服务”，中风险区“人不出区、错峰取物”，其他区域非必要不外出。除保障市民基本需要的生活超市（含农贸市场）、药店、医疗机构、餐饮类企业等之外，其他营业场所、门店暂停营业，倡导大家居家办公。上述区域内，员工生活、工作、交通都在园区内封闭式管理的企业，做好各项防疫措施，可正常生产。我们将争分夺秒利用这个窗口期，全力与病毒赛跑，为阻断病毒传播赢得宝贵时间。全区各级机关、事业单位除承担防疫任务的工作人员外，均居家办公或就地转为志愿者，全面参与防疫工作和社区服务。特别提醒，上述11条街道的居民朋友参加核酸检测后还请及时回家，不聚集、不逗留。二是开展全覆盖核酸筛查。白云区正开展多轮次全员核酸检测，目前进入辖内各村居、小区以及商场、超市等公共场所均需查验24小时内核酸阴性证明或采样记录，还请大家理解、支持。昨天全区完成核酸采样376.39万人次；今天我们继续启动全区全员核酸检测，投入采样医护人员6500名，设立1620个核酸采样点，并设置绿色通道，为老人、幼儿、孕妇和行动不便的群众提供优先服务。针对“黄码人员”，全区共设75个黄码采样点，其中28个检测点为市民提供24小时核酸采样服务。三是持续优化提升服务保障。近期的疫情防控措施给广大市民朋友的日常工作、生活、学习带来不便，恳请大家给予理解和支持。此次疫情涉及的范围广、人口多，我们深知在疫情综合保障工作中，仍存在不周到、不细致的地方，广大市民朋友给予了很多理解和宽容，在这里谨表深深的谢意。大家可通过社区三人小组、楼栋微信群、暖心服务电话、12345热线等方式反映需求，我们将全力以赴做好服务保障工作。物资方面，目前37家大型商超、11家重点农贸批发市场和5家重点保供企业全部正常经营，全区肉、蛋、菜等8类生活必需品供应充足、品类齐全，每日供应量约1.1万吨，最大储备量约2.1万吨。我们采取分类保供模式，高风险区居民可线上下单采购，对于不会下单采购的群体，我们将上门服务；中风险区居民可凭出入卡到指定地点现场采购或领取线上下单物资。医疗方面，我们摸查掌握了高、中风险区内孕产妇、血液透析患者、慢性病患者、独居老人、肿瘤患者等特殊群体1612人，转运高、中风险区内的患者前往定点医院就医428人次。开通23条“红棉热线”，全天候向特殊人群提供政策咨询、心理疏导、防疫援助等服务，近一周来对低保低收入对象、特困人员、独居孤寡老人、贫困重度残疾人等群体落实电话随访，及时开展防疫援助、心理疏导等，累计随访服务5652人次。目前的防控措施给大家工作生活带来了不便，但这是阻断疫情传播风险、守护广大市民朋友生命健康的必要之举。请大家继续配合好防疫要求，做好个人防护，您的每一次参与都是对疫情防控工作最大的支持，相信我们携手共进、守望相助，一定能够早日战胜疫情。#广州爆料##广州疫情#,2,9,24
1,4829964573347201,广州日报,2022-10-29 17:45:53,【广州新增139例新冠病毒本土感染者，海珠区感染者集中在4条街】10月29日17时，广州市人民政府新闻办公室召开广州市疫情防控新闻发布会，通报广州市新冠肺炎疫情防控相关情况。广州市卫生健康委副主任、新闻发言人张屹介绍，10月28日0至24时，广州市新增139例新冠病毒本土感染者，其中100例在隔离观察、风险区域筛查中发现，39例在社区筛查及发热门诊中发现。以上感染者均已闭环转运至广州医科大学附属市八医院诊治，病情稳定，无重症、危重症感染者。现将全市主要疫情防控进展情况通报如下：海珠区28日新增77例，感染者仍然集中在江海、赤岗、凤阳和南洲4条街，局部区域呈现明显聚集。近三天海珠区新发病例在隔离管控人群中发现的比例逐步增高，但整体情况仍不容乐观，我们根据新增感染者的分布动态调整管控措施，对传播风险较高的阳性个案活动轨迹及场所及时排查管控，全力阻断疫情传播。白云区28日新增31例，主要在前期疫点隔离管控人员中发现，黄石、均禾、松洲3条街的城中村仍有新发阳性个案；嘉禾街与均禾街相邻区域的新发感染者，在小型作坊有局部聚集现象。目前白云区疫情依然是多点、多源、多链局面，存在社区传播风险。我们正与病毒抢时间争速度，快筛快查快排快控，全力阻断疫情传播。天河区28日新增17例，以龙洞街聚集性疫情为主，多数新增感染者在隔离管控中发现。专家研判，天河疫情传播链条相对清晰，龙洞街聚集性疫情整体风险可控。天河区另外还有个别散发感染者，在主动就诊发现，这也提醒我们，在当前疫情形势下，市民朋友要提高警惕，有发热、咽痛等症状要及时就医，避免带病上岗、上学。（广州日报·新花城记者：方晴、张青梅、王燕）,27,6,24
1,4829974504670406,陪Aria看日出,2022-10-29 18:25:21,#哈尔滨疫情#蹲道理 ,0,0,0
1,4829974478982293,孟遇凡,2022-10-29 18:25:15,#专硕将成未来考研主流#找一份不是你心目中理想但你做得来的专业也相关的工作，读个在职研究生其实也一样。找不到工作是假的，找不到自己理想中那种工作才是真的。疫情时代，就不追求钱多钱少了，有工作每个月有钱发，自己能干的下去，有时间看看书，就可以了。谁知道下一秒会发生什么。,0,0,0
1,4829974471645834,淮安公交迷,2022-10-29 18:25:13,#专硕将成未来考研主流#找一份不是你心目中理想但你做得来的专业也相关的工作，读个在职研究生其实也一样。找不到工作是假的，找不到自己理想中那种工作才是真的。疫情时代，就不追求钱多钱少了，有工作每个月有钱发，自己能干的下去，有时间看看书，就可以了。谁知道下一秒会发生什么。,0,0,0
1,4829974471116696,福州日报,2022-10-29 18:25:13,【福州市教育局：这些区域继续线上教学】接市疫情防控指挥部通知，根据当前我市疫情防控形势，经专家综合研判会商，决定部分区域内学校继续开展线上教学。现将有关事项通知如下：一、10月31日（星期一）起，鼓楼区、台江区、仓山区、晋安区、马尾区、长乐区、闽侯县、连江县、闽清县、永泰县、高新区全域各级各类学校（含公民办学校）、校外培训机构继续暂停线下教育教学，开展线上教学。在榕高校继续实行封闭管理，开展线上教学。具体恢复线下教学时间另行通知。二、线上教学期间，有关县（市）区教育部门要组织各中小学校有序做好线上授课安排和居家学习指导，开齐开足课程，确保“停课不停教，停课不停学”。三、线上教学期间，各学校要督促师生员工按属地要求及时参加区域核酸检测，确保一人不漏。四、各学校要持续做好师生员工健康教育，提醒落实个人防护措施，师生员工在暂停线下教学期间，不聚集、非必要不外出。提醒学生在居家期间保持每天适度运动量，增强健康体魄。五、其他县（市）中小学、幼儿园教学安排，由县（市）教育行政主管部门会同当地卫健部门综合研判疫情防控形势后，报属地疫情防控指挥部决定。要加强学校疫情监测综合分析和风险研判，科学制定疫情防控方案和应急处置预案，严格落实各项校园疫情防控措施，切实保障师生员工健康安全。（via福州教育）网页链接,0,0,0
1,4829974433893957,西藏张三,2022-10-29 18:25:04,拉萨我是西藏拉萨的一个演员，很荣幸参演了影视作品《在人间凑数的那些日子》，代表作正在拍摄，谢谢关注！#疫情防控##西藏##拉萨疫情防控# 拉萨 西藏张三的微博视频 ,0,0,1
1,4829974399811827,美女敬礼·salute,2022-10-29 18:24:55,时代少年团周边中转站 联系客服改地址需要什么东西 哪些信息？！急因为我这边疫情区 李飞发不了货 贺峻霖文具sdfj都发短信说了我眼看刘耀文运动会也应该快发货了 所以想联系客服改一下地址 ,0,0,0
1,4829974388019878,北方新报,2022-10-29 18:24:53,【#跟着总书记看中国# | 生命至上】生命健康，是幸福生活的基础。从抗击新冠肺炎疫情到防灾减灾救灾，从深化医药卫生体制改革到打造人类卫生健康共同体，让我们跟着总书记的脚步，记录“生命至上”的那些温暖瞬间。#千家万户的事#（人民网）人民网的微博视频 ,0,0,0
