页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4830277157782018,皇城根下刀笔吏,2022-10-30 14:27:59,我看到现在好像又能聊疫情了，在此简单说一下自己的困惑。今年是疫情第三年，马上快进入第四年了，除了目前的核酸+隔离+静默这些物理老办法以外，还有没有其他更科学、更先进的办法？我这么问，不是要抬杠，也不是不支持国家的防疫大政策，只是作为一个普通人，有这么一个可能不太成熟的想法和困惑。我记得疫情刚发生的时候，专家们号召大家去打疫苗，说绝大多数群体都接种疫苗后，便可以形成群体免疫，言下之意是可以形成防疫屏障，不用全民都过特别苦的隔离生活。我已经接种三针，我相信很多朋友应该也已接种，因为之前官媒还报道过接种疫苗的数量，当时感觉超级自豪，觉得西方国家民众不团结，做不到如此众志成城，但我们却做到了。但到现在为止，接种的疫苗屏障好像也没人提了。如果是因为病毒发生变异，原先的疫苗不管用了，那请问，有没有管用的与时俱进的疫苗？只要能形成免疫屏障，我还是愿意去接种的。但是现在，好像也没人提新疫苗的事情。新冠特效药到底有没有，有多大效果，什么时候可以上市，好像也没什么准信。几个月前记得看到过一个新闻，说有一款特效药已经研发成功，但后来就没再看到后续新闻。现在基本就是物理老办法，一波波的检测加一波波的隔离。只要言论审核稍微放松，网上基本都是这些让人糟心的内容。后台私信中，偶尔也会收到这些投稿内容。虽然自己没有受到特别直接的影响，但是每天看到这些新闻，也是让人无法不感到心塞。自己也是感觉生活在巨大不确定之中，不知道这样的生活何时才会结束。国家卫健委出台的“九不准”政策，个人觉得得到100%执行的可能性，在不断降低。以前我不明白为什么不能执行，最近明白了，因为各地的防疫执行能力完全不同。像北京这边的防疫能力比较强，但有些地方的防疫能力可能跟北京不在同一个量级。所以，一旦不折不扣执行“九不准”政策，不同省市之间可能出现劣币驱逐良币现象。防疫能力差的地方，可能会不断有阳性病例流入防疫能力强的地方，导致防疫能力强的地方时时处于被动挨打地位，最后被拖垮。所以，大家只能各自为政。像北京这种地方，实行铁桶政策，外紧内松，不让病例流进来。在这种情况下，北京内部可以相对宽松。至于网上还有人在争论的清零派和共存派，我感觉属于伪争论。如果病毒仍然比较厉害，则讨论共存没有意义。如果机械隔离导致人为次生灾害发生，则严格机械清零也没有意义。我相信多数人也不是非黑即白的二极管，都是希望寻找到最佳平衡点，也愿意配合这种最佳平衡措施。争论到底是共存还是清零，本质上属于带偏话题，非蠢即坏。最后说一句，希望疫情早日过去，或者希望能够早日寻找到更加科学和合适的防疫路径。,295,238,1410
1,4830282903193173,新京报,2022-10-30 14:50:49,【#富士康员工徒步返乡需更周全的保障#】连日来，富士康郑州园区的疫情牵动着人心。截至目前，河南洛阳、新乡、焦作、周口等多个市县乡，纷纷发出“告郑州富士康家乡籍员工书”，表示做好了当地户籍员工返乡的准备，确需返乡者需提前报备，落实“点对点”服务和相应的隔离措施。另据第一财经报道，当地政府已向郑州富士康派驻驻厂工作组；郑州富士康所在的郑州航空港经济综合实验区，也有负责人回应，正会同河南省有关部门，开会研究相应措施。社会多方将目光投向郑州富士康，跟园区疫情及由此衍生的某些景象有关：虽然郑州富士康方面已针对“有2万人确诊”的说法作出回应，称其为“严重不实消息”，表示“仅有少部分员工受影响”，但据其官方通知，该园区已采取闭环管理、禁止所有员工堂食之类的防控措施。不少郑州富士康员工徒步返乡的视频和图片，也是在此背景下流出。如果说，郑州富士康疫情将部分被困员工“赶”上了返乡之路，那沿途热心群众设置的临时补给点，多地政府安排的“点对点”接送的返乡专用车辆，无异于用善意的火把温暖了这些深秋里的返乡者。正因如此，很多人感慨：温柔以待之下，心酸处也是心暖、心安处。接下来，希望涉事多方能用更为周全、妥当的保障服务，回应富士康员工“徒步返乡潮”，以更好地凝聚起同心抗疫的合力，也延续“以人为本”的防疫初衷与善意。戳全文↓富士康员工“徒步返乡潮”，需有更周全妥当的保障|新京报快评,28,33,131
1,4830285185157604,拆台CT,2022-10-30 14:59:53,#当地政府已向郑州富士康派驻工作组#10月30日晚，郑州#富士康#党委书记苏东霞疑在朋友圈发文回应。苏东霞称，郑州厂区估计有20多万人，这注定不仅是一家公司，这是一个复杂的社会，管理难度可想而知。“想想你们所在的县城/市，多久能控制了疫情？代价是什么？在此期间除了会偶尔收到象征性的一兜菜之外，你还收到过什么？政府有没有给大家每天提供一日三餐？”苏东霞表示，几十万人在十几平方公里的面积上，光吃喝拉撒就是一项非常艰巨的任务和项目，然而公司自己攻坚克难，员工化身志愿者，服务几十万人的吃喝拉撒，而且要确保吃上热盒饭，这种场面你可曾见过？知道需要多大的付出吗？苏东霞补充道，停工当然是最简单的，但停工之后的创伤可曾想过？就像你为了要治好鼻炎，医生要你把头砍掉，鼻炎肯定是不会再犯了，你愿意吗？苏东霞还哭诉道，疫情这几年，负面情绪/消息会比正能量传播的更快更广，公司没有资源去控制舆论，所以你看到的负面信息可能也是其中的真相之一。但是请你相信，这家公司肯定比这个社会更干净，这里面每天都有成千上万的正能量，但是大家都在一线，没时间去传播。苏东霞最后呼吁，在危难时刻需要携手同行，而非相互踩踏。通过“敲键盘发DY”不能让疫情消失，最后还是要靠实际行动。“感恩亲友，也感恩公司。疫情这几年，除了国家的公职＆企事业人员，哪家公司在你长时间停工期间正常付过工资？富士康做到了。”#河南多地致信本地在郑州富士康工作人员#,41,128,694
1,4830291752913808,Fanh_16,2022-10-30 15:25:59,#哈尔滨疫情#今天核酸什么时候能出来 ,0,0,0
1,4830291732203913,钢铁侠的小皮衣,2022-10-30 15:25:54,#郑州疫情#一纸文书，层层加码。世界上有那么多病毒，但现在好像只有一种。,0,0,0
1,4830291731941634,静_观_,2022-10-30 15:25:54,其实某国最大的矛盾，不是抗疫矛盾，而是分配的矛盾。疫情，是加剧了这种矛盾。在正常情况下，还有工作或其他营业继以为生。疫情的封控，切断了这些人的经济来源。可见，我国并没有一个分配体系，让所有人都能保证基本生活。至少没能让受疫情封控影响而没有收入来源的活下去的基本保障。,0,0,0
1,4830291729056198,疗愈的月亮,2022-10-30 15:25:52,#滕州市疫情#不仅贴封条，还喷洒药物。早上通知说有直升机喷药，人要躲进屋子里，我还觉得不可能喷杀伤力这么大的药物，毕竟都是人啊，不会窗子全都记得关紧啊。现在就看到了这样的消息，出手真是毫不手软,0,0,0
1,4830291712279512,Blessing若平,2022-10-30 15:25:49,#郑州疫情#一纸文书，层层加码。世界上有那么多病毒，但现在好像只有一种。,0,0,0
1,4830291711493603,宝藏老徐,2022-10-30 15:25:49,我的小县城抗疫日记 #居家隔离##战胜疫情##抗疫行动# ,0,0,0
1,4830291707039387,武汉临空港,2022-10-30 15:25:48,其实某国最大的矛盾，不是抗疫矛盾，而是分配的矛盾。疫情，是加剧了这种矛盾。在正常情况下，还有工作或其他营业继以为生。疫情的封控，切断了这些人的经济来源。可见，我国并没有一个分配体系，让所有人都能保证基本生活。至少没能让受疫情封控影响而没有收入来源的活下去的基本保障。,0,0,0
