页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1,4816833317967192,大河报,2022-09-23 12:06:58,【陈继志陈词痛哭称对不起国家对不起唐山，受害方律师发声】9月23日，#唐山打人案一审宣判#，#唐山烧烤店打人案28名被告获刑#。庭审旁听人员告诉记者，在上周的庭审中，陈继志在最后陈词时曾痛哭流涕，说对不起国家，对不起唐山，对不起受害人。受害方律师、北京正公律师事务所主任崔家国告诉@大河报，28名被告全部到庭，宣判结束时情绪较为平静。详见陈继志在庭审中曾痛哭流涕称对不起唐山，受害人律师发声（大河报·豫视频记者陈曼胡嫦元张晶晶）,5166,6659,148777
1,4816892999762335,上海滩小律师,2022-09-23 16:04:07,【#唐山打人案一审宣判##陈继志一审被判24年#】这个案子从事发到判决，效率是相当的高，我注意到通报里说，从2012年以来，被告人陈继志等人还长期纠集在一起，在唐山市等地以暴力、威胁等手段，实施非法拘禁、聚众斗殴、故意伤害、开设赌场、抢劫、掩饰、隐瞒犯罪所得、帮助信息网络犯罪活动等违法犯罪活动，逐渐形成了以陈继志为纠集者，王晓磊等7名被告人为成员的恶势力组织。该恶势力组织为非作恶，欺压百姓，破坏当地经济、社会生活秩序，造成恶劣的社会影响。陈继志能判24年是因为各种罪实在太多了，从2012年就开始了各种犯罪，学过刑法的同学，一看到24年这个数字就明白很多了。刑法第六十九条规定【数罪并罚的一般原则】判决宣告以前一人犯数罪的，除判处死刑和无期徒刑的以外，应当在总和刑期以下、数刑中最高刑期以上，酌情决定执行的刑期，但是管制最高不能超过三年，拘役最高不能超过一年，有期徒刑总和刑期不满三十五年的，最高不能超过二十年，总和刑期在三十五年以上的，最高不能超过二十五年。数罪并罚有个原则叫限制加重原则，就是哪怕再多的罪，只要是很多小罪，哪怕最多也就二十五年。,10,35,467
1,4817493153285560,飞象网项立刚,2022-09-25 07:48:55,#做早饭时想#媒体传达的信息有两种，一种是事件，经常是以人与人的冲突，带着很大情绪化，给人以情感的震动，信息本身并无实质价值。比如最近的唐山打人事件。另一种是数据，这其实是社会发展变化的重要记录，它很少有情绪化，但它其实是产业、社会、经济发展的最完整的记录，信息本身就是有价值的。最近一个数字就非常有震撼力，但关注的人征少。【我国移动物联网连接数已达16.98亿户】截至8月底，我国移动物联网连接数已达16.98亿户，首次超过移动电话用户数。这条信息意味了，接入网络的各种终端设备，已超过人接入的数量，这意味智能互联网的一个重要节点到来。互联网的第一步是古典互联网，是人用作为信息传输。互联网的第二步是移动互联网，建立起一个为普通人生活服务的信息体系。互联网的第三步是智能互联网，是建立社会管理、社会运营、生产制造的新系统。这是人类又一次真正意义上的产业革命。全世界还处在第二步，只有中国迈入智能互联网，物联超过人联，这是重要的标志。古典互联网时代机会属于4大门户、BAT。移动互联网的主导是美团、滴滴、拼多多、抖音。智能互联网也会有新的企业和新人出现，把一切设备联上网，这是智能时代的第一步。,73,33,342
1,4816907889021591,环球人物杂志,2022-09-23 17:03:17,【#唐山打人案宣判本地人如何看#？】9月23日，廊坊市广阳区人民法院对“唐山打人案”公开宣判。唐山市民表示：这几个人给唐山抹黑了，罪有应得。希望大家不要因为这一些人抹杀了对整个城市的评价，欢迎大家来唐山做客。 #唐山打人案一审宣判# 环球人物杂志的微博视频 ,127,147,592
1,4816856974886002,澎湃新闻,2022-09-23 13:40:58,#中国人#以立场划分阵营，例如女权主义、动物保护主义。这样的机制既能推动唐山打人等社会事件的厘清，也能因为“高铁是否售卖卫生巾”这样的话题挑起类似“男女对立”的争论。既能给鸿星尔克、蜂花以“野性消费”的支持，也能让一些如李宁一样的品牌百口莫辩。,20,27,76
1,4816900447797589,储殷,2022-09-23 16:33:42,#中国人#以立场划分阵营，例如女权主义、动物保护主义。这样的机制既能推动唐山打人等社会事件的厘清，也能因为“高铁是否售卖卫生巾”这样的话题挑起类似“男女对立”的争论。既能给鸿星尔克、蜂花以“野性消费”的支持，也能让一些如李宁一样的品牌百口莫辩。,10,19,217
1,4827285737180093,念父,2022-10-22 08:21:09,成都坐快速公交回家，一个剃着光头，穿着画有白色BOY老鹰图像T恤衫的中年男人坐在了我旁边，神似唐山打人事件中的那几个罪犯。顿时冷汗直冒,0,0,11
1,4827110340299855,哈局巡道工BG2AXK,2022-10-21 20:44:11,夏之光就唐山打人事件发声相信越来越多人会站出来吧梵高影视的微博视频,0,0,1
1,4827101679324343,梵高影视,2022-10-21 20:09:46,夏之光就唐山打人事件发声 相信越来越多人会站出来吧  梵高影视的微博视频 ,0,0,0
1,4827095967205410,BruceKwok,2022-10-21 19:47:04,#莆田鞋[超话]#唐山烧烤店打人事件，不仅是女孩子会感到恐惧，任何一个好好生活的正常人都会感到恐惧。我不希望大家把它单纯地看成是男女矛盾，而是遵纪守法生活的普通人和不遵循社会规则的人之间的矛盾。骚扰女生是很恐怖的，女性因为自己的性别更容易受到侵犯和骚扰。但更深层次的恐惧来源于，你知道这群人的目的...专注薯条的微博视频,0,0,0
1,4826931360694420,盖世英雄玉椒龙,2022-10-21 08:52:58,今年不正常的转发有很多。还是以唐山的案件为例子，一个一条微博没有发过的小号，发了一张没有正脸平头男人的图，说这是打人者出来了，甚至没有说这是哪个打人者。半个多小时内就上万转发。这根本不像活人能转发出来的，因为大部分人第一时间反应不应该是“这是哪个打人者”“长得像/不像”吗？一张没有正脸的图，而平头男子是中国各地随处可见的，更别说打人案被抓了九个人，难道没有任何人思考一下吗？,58,63,1213
1,4826984364641549,战友影视,2022-10-21 12:23:36,从唐山打人事件想到了一个韩国综艺《在当地吃得开吗》：徐锦江他儿子徐菲（黑衣服）和他同学在韩国搭讪一个小姐姐，视频中的男孩为了接触一个小吃店小姐姐，先是向路边的卖花小朋友买了100块的花。然后又写了自己的电话号码，让小朋友递给小姐姐。同样是中国男人，在同样的场合下，一个暴/力xsr，一个有礼貌有素质有涵养的温柔搭讪。真，人类世界的参次🈶！L#亿点曝光计划##剧集二创榜#战友影视的微博视频,0,1,1
2,4826783993824141,恰恰咔吱脆,2022-10-20 23:07:24,为什么现在看到官方通报先质疑后相信呢那当然是因为——徐州疯县上下两级公安通报造假互相矛盾啦唐山打人第一份通告说是因为女的先动手 男的被迫对抗啦 ,3,0,28
2,4826827350868678,复蓝垦丝碳,2022-10-21 01:59:41,sb游戏打人打得像唐山打人男，还好意思嗑cp。自我感觉真的太良好了。,0,0,1
2,4826815355421770,悲伤咸蛋猪大肠,2022-10-21 01:12:01,有时候想不通很多，比如女孩被骚扰后，到底怎么做才是对她好的，《底线》里面有很多案子一直在讲要被调解双方都合理满意，一直强调对当事人以后生活的影响，这个剧很多地方我都不认同，把女性发声刻画的自私又不理性，规训女性要识大体。还有唐山打人事件，舆论哗然，纷纷为当事人发声，但很多难辨真假的信息，保护被害人的隐私是对的，保证被害人以后生活也是正确的。但问题在于如果控制变量被害人因为事件以后带来的非议问题，事件本身应该怎么解决。看《底线》让我突然意识到事件的另一面，但这另一面本不应该考虑，可悲就可悲在在社会和人心中，大多数人还没开化呢…,0,3,1
2,4826805745486396,也曾落雪吹白首·,2022-10-21 00:33:50,说不得，说了就是铁链女巴拉巴拉唐山打人巴拉巴拉，唐山打人那件事都宣判多久了还搁那儿叫唤不会在乎事实真相，只要能吃一口性别矛盾的血就狠狠发疯【ps：刚发现自己被人开除女籍了，它们还送我一顶帽子：“粉红”！】 ,0,1,0
2,4826802566201361,清水煮肉菌,2022-10-21 00:21:11,有时候想不通很多，比如女孩被骚扰后，到底怎么做才是对她好的，《底线》里面有很多案子一直在讲要被调解双方都合理满意，一直强调对当事人以后生活的影响，这个剧很多地方我都不认同，把女性发声刻画的自私又不理性，规训女性要识大体。还有唐山打人事件，舆论哗然，纷纷为当事人发声，但很多难辨真假的信息，保护被害人的隐私是对的，保证被害人以后生活也是正确的。但问题在于如果控制变量被害人因为事件以后带来的非议问题，事件本身应该怎么解决。看《底线》让我突然意识到事件的另一面，但这另一面本不应该考虑，可悲就可悲在在社会和人心中，大多数人还没开化呢…,0,8,2
2,4826788397842691,·奶琳养成记·,2022-10-20 23:24:53,说不得，说了就是铁链女巴拉巴拉唐山打人巴拉巴拉，唐山打人那件事都宣判多久了还搁那儿叫唤不会在乎事实真相，只要能吃一口性别矛盾的血就狠狠发疯【ps：刚发现自己被人开除女籍了，它们还送我一顶帽子：“粉红”！】,1,0,8
3,4826771645797206,下多少斤药都得不到的美少女,2022-10-20 22:18:20,每当有这种性质的公共事件发生的时候，我都会觉得那是替我受罪。当女性成为一个整体的时候，任何一个部分受损带来的痛是全局的，不存在分散削弱效应，是无损的复制传播。记得之前唐山打人案的时候，家里聊起这个话题，父母说那个女孩运气不好，我说这说明我也处在危险之中。她是我，我也是她。平等地憎恨男性群体本身，例外地剖除几个现实朋友，以将功赎罪的理由。身为剥削的既得利益者，性别本身就是原罪。,0,1,10
3,4826759763595004,总有风雨过去时,2022-10-20 21:31:07,有多少热点案件是无重大争议大？昆山反杀案，唐山打人案，还有呢？ ,0,0,1
3,4826740540571784,用户3637255448,2022-10-20 20:14:43,发布了头条文章：《民事诉讼流程》#唐山打人案一审宣判##肖战维权#希望能帮助到更多人，附上诉状模板民事诉讼流程,0,0,0
3,4826579048598998,松软小耶,2022-10-20 09:33:01,发布了头条文章：《民事诉讼流程》#唐山打人案一审宣判##肖战维权#希望能帮助到更多人，附上诉状模板民事诉讼流程,0,2,1
4,4826579048598998,松软小耶,2022-10-20 09:33:01,想了想还是打上triggerwarning很久没有转发过社会新闻，因为我自己都根本没有从唐山打人的事件中走出来，人抓到了又怎么样，判刑了又怎么样，他们可以这样肆无忌惮对女性施加暴力，就是不觉得会有什么后果，要不是事情闹大很可能就不了了之。甚至事情对于女性本身就是一种恐吓，我不敢想如果我的妹妹，我的朋友遭遇这样的事情，而那些所谓的如何可以保护自己的说辞，其实大家都知道，女性再怎么用心保护自己，在绝对的力量差距，人数差距面前都无济于事……仅仅性骚扰和恐吓，没有具体施暴行为时报警有没有用，周围的看客会不会伸出援手，大家其实都心知肚明。说这些话不是想唱衰，因为今早又是在噩梦中惊醒，醒之前我在努力用锤子锤追着我妹妹朋友打的男的的太阳穴……,0,2,1
4,4826555853308587,戴好甜,2022-10-20 08:00:51,真大佬怒斥唐山打人者，曾是澳门教父的崩牙驹，如今被评爱国代表  戴好甜的微博视频 ,0,0,1
4,4826432293831903,蛋炒饭要加香肠,2022-10-19 23:49:52,刚刚和抓唐山打人的交警队长聊了半天整个人都得到了升华,0,1,3
4,4826428358528503,花朝月杪,2022-10-19 23:34:14,#ewrick#这位姐好努力，6月先转发了唐山打人事件，隔了几个月又测试了一下，从10月1号开始发，终于在18号被大家关注到了 ,0,0,16
4,4826422700938513,goodfortunefrom2022,2022-10-19 23:11:45,去年嘲讽我想去国外是因为&quot;在国内混不下去&quot;的人现在天天怼疫情政策，这种人如果不是因为触犯到他自身利益是不会共情他人的。所以也不要觉得骂疫情政策的就全是什么好人。我身边那种疫情怼天怼地，唐山打人一言不发装瞎，生活中都是很讨厌且没真本事的人。 ,0,1,4
4,4826418745705656,Jenniefcing,2022-10-19 22:56:02,#Ewrick#刷到这位姐第一条微博，还在为唐山打人事件转发热度，有在关注咱国啊哈哈哈哈 ,0,0,16
4,4826007821354510,mj微风,2022-10-18 19:43:10,李宁篮球小编阴阳怪气，当时刚好发生唐山打人事件……. ,6,8,51
4,4826354790960350,田雨的微博521,2022-10-19 18:41:54,比赛我由于活泼被选为队长对方队长被其队员鼓劲：看见没？唐山人！打人那几个是她小弟我看着我队员一言不发气势低落的样子于心不忍：上梁山那几个，你们知道吧？ ,0,1,1
4,4826344321453092,橘子味up养乐多_小琉,2022-10-19 18:00:18,刚刚和抓唐山打人的交警队长聊了半天整个人都得到了升华,0,0,2
5,4826260855591409,贼叉,2022-10-19 12:28:38,#中国成为世界最安全国家之一#干嘛还之一，那就是最安全的。有个收钱缓华的号把唐山的打人案搬到推上，结果米国人都呆了：什么，单身女性晚上敢独自出门宵夜？什么，一个打人案居然热搜那么多天？我们这儿枪击死三两个网上都看不见。。。这个结果出乎金主爸爸的意料，一怒之下把缓华号给删号了。。。,22,35,219
5,4826211375385127,寒冰之阳,2022-10-19 09:12:01,性质比唐山烧烤店打人事件更恶劣的案件为什么至今还未果？没有媒体的曝光就没有正义可言？就没有公正、合法的效率？法警队长和政协委员把我丈夫头骨打到稀巴烂，安康他们的黑社会保护伞说不是杀人 ,11,1,7
5,4826156891373926,流涟漪江,2022-10-19 05:35:31,🔥面对校园霸凌，我们应该怎么做前几天，“唐山饭店打人事件”上了热搜，其...戳我看完整笔记>>网页链接(更多@大聪明一凡的笔记内容都在@小红书立刻下载APP：应用详情),0,0,0
5,4826038994206947,程师视野,2022-10-18 21:47:01,六问“唐山打人事件”：如何定性、量刑？施暴者是否有前科？  详情==&gt; 六问“唐山打人事件”：如何定性、量刑？施暴者是否有前科？  ,0,0,2
5,4826014955340513,珍酱Amber,2022-10-18 20:11:30,【分享趣事】吃米线ing进来三个壮汉我悄咪咪跟姐妹：咱们两个稳当点，这三个人像唐山打人的流氓“流氓”转头瞅我哎呦我去，这不是我姑舅爸嘛 ,0,0,0
5,4826004139017598,就追套了怎么了,2022-10-18 19:28:32,没被铁链女吓死 没被唐山打人吓死 没被当街砍人吓死 被微博上别人一句乳的好吓死了 ,0,0,3
5,4825898572842352,湖南律师杨辉,2022-10-18 12:29:03,唐山打人事件也没这么恶劣，打黑除恶还得继续深挖石泉小伙陈哲惨遭汉阴县检察院干部和县政协委员等“权贵”毒手而死！天理国法难容！ ,0,1,3
5,4825709996410942,超级无敌宇宙鸭血粉丝,2022-10-17 23:59:43,我不信叶舒华是台独我真的很爱她，明明就是个很温暖的女生，唐山烧烤店打人都出来发声了为什么说是台独 ,0,0,1
5,4825693219457304,小猫公主九疑仙人www,2022-10-17 22:53:03,因为我觉得老师还是很保守的，所以不想讲离婚率或者唐山打人那种敏感话题了，甚至不如讲讲furry和bdsm什么的……（一边做PPT一边想这是可以说的吗）不厚道地喵了不知道算不算地狱笑话的一种 ,0,0,1
6,4825529486934302,微博政务,2022-10-17 12:02:25,#热点案件聚焦# 【2022微博政关注·热点案件档案——9月#要案速报# 回顾】政务官微作为权威信息的发布出口，作为还原案件真相的官方渠道，一直坚守在舆论阵地的第一线。2022年9月，有哪些大案要案发生，有哪些政务官微在微博公开通报，跟着政务君，一起回顾！政务微博，你我一同关注 @政务新媒体研学中心 @警察蜀黍TV【9月热点内容抢先关注】@人民法院报#唐山打人案一审宣判#@平安北京#李易峰嫖娼被拘#@西安碑林公安#西北工业大学遭美国NSA网络攻击#@中国警方在线#警方通报某艺考机构杜某某已被刑拘#微博政务的微博视频,4,1,4
6,4825427748847960,HAPPYMAX天堂游乐园,2022-10-17 05:18:10,#唐山 打人# 那种全世界最讨厌的IDs，就是给自己改名叫做黄帝或者女娲，然后偷我东西，冒名顶替，占我位子，还排挤我骂我的IDs。你俩果真是&quot;器官匹配&quot;。望周知 ,1,0,1
6,4825325999233017,香山杨迦,2022-10-16 22:33:51,几个月没来，特地来搜一下八孩女，没搜到；去探望的两个姐妹也搜不到讯息。是的，之后上海疫情、唐山打人等太多事件发生了。但心里还是惦记着。如同一根刺没有拔出来,0,1,16
6,4825273541593393,利芬影视,2022-10-16 19:05:24,变太！变太！！有网友爆料唐山打人事件其中一名罪犯和他儿子舌吻5秒！还真是没下线！离谱利芬影视的微博视频,0,0,0
6,4825254834738604,书剑飘零樊雨潺,2022-10-16 17:51:04,几个月没来，特地来搜一下八孩女，没搜到；去探望的两个姐妹也搜不到讯息。是的，之后上海疫情、唐山打人等太多事件发生了。但心里还是惦记着。如同一根刺没有拔出来,1,0,1
6,4825159066193710,嘤嘤怪附体,2022-10-16 11:30:31,#桃黑黑#刷到过他真的很好笑诶！我是通过他为唐山打人事件的女生发声知道他的，有点子油麦的！！ ,0,1,4
6,4825122017906429,酸甜萌萌汤,2022-10-16 09:03:18,#张艺兴可爱#请关注唐山打人事件❗️❗️❗️请关注金山事件❗️❗️❗️一期节目俩小时张艺兴出镜五分钟真是求求了，节目组放过张艺兴吧这个时候买热搜你没事吧别拿张艺兴挡枪请大家多多关注公众新闻❗️❗️❗️ ,0,0,2
6,4825114237471400,大平哥威武,2022-10-16 08:32:23,唐山打人事件最后怎么样了 ,0,2,1
7,4825006858569498,第九晚心动,2022-10-16 01:25:42,深夜有感施暴者永远不会认为自己不对永远不会道歉就像之前的唐山打人事件,0,0,1
7,4824406541471335,夙欣5776,2022-10-14 09:40:15,高彦的事情只能折射出这个时代的一部分阴暗，之前唐山的事件闹得多大，最后连女孩是否还活着都没有公示出来，就是发了个模棱两可的声明，不觉得很可笑么，说着言论在合理范围内是自由的，那么在没有攻击他人的情况下为什么不给这些事件一个合理的曝光，给关心事件的大众一个明确的交代呢#高彦##唐山打人案一审宣判#,3,17,104
7,4824963321697573,糖心与曲奇,2022-10-15 22:32:42,疫情后的第一顿烤鱼吃完准备离开时，被两个中年老男人搭讪，瞬间想到唐山打人事件，吓得我和甜甜 菊菊赶紧结账回家 ,0,2,1
7,4824956607138947,荒岛爱情史,2022-10-15 22:06:01,第一次好感张天爱是唐山打人事件她是第一个站出来说帮助女孩子的人到徐开骋出轨张天爱又警惕所有女孩擦亮眼睛然后徐开骋这些经典语录是天天写日记练出来的吗真是脏了娜扎和张天爱的眼还一口一个爱宝我听了都吐了,0,1,2
7,4824954800180547,顶天立地一只耶,2022-10-15 21:58:50,铁链女乌衣女怎么样了唐山打人事件的女孩怎么样了现实版的林奕含们怎么样了十恶不赦的老师抓到了吗就算没人提起也不会忘永远不会忘,2,3,23
7,4824948918978230,无所谓-午夜伤心的玫瑰,2022-10-15 21:35:28,高彦的事情只能折射出这个时代的一部分阴暗，之前唐山的事件闹得多大，最后连女孩是否还活着都没有公示出来，就是发了个模棱两可的声明，不觉得很可笑么，说着言论在合理范围内是自由的，那么在没有攻击他人的情况下为什么不给这些事件一个合理的曝光，给关心事件的大众一个明确的交代呢#高彦##唐山打人案一审宣判#,0,1,0
7,4824948893553823,哲哲-Y,2022-10-15 21:35:22,疫情后的第一顿烤鱼吃完准备离开时，被两个中年老男人搭讪，瞬间想到唐山打人事件，吓得我和甜甜菊菊赶紧结账回家,0,3,1
